"Hormones.SL","Hormones.BRC1_2","Hormones.CK","Hormones.Aux_Shoot","Hormones.ABA","Hormones.Bud_release","Hormones.PAT_Bud","Hormones.Aux_Bud","Hormones.SUC","Hormones.Sustained_growth","Hormones.GA","Hormones.Decap_signal","Hormones.CXE","Hormones.SMXL6_7_8","Hormones.FHY3_FAR1","Hormones.SPL9_15","Hormones.SMXL6_7_8_Transcription","Hormones.Low_R_FR","Hormones.MAX2","Hormones.D14","Hormones.Perception_SL","Hormones.D27","Hormones.MAX3","Hormones.MAX4","Hormones.MAX1","Hormones.LBO","Hormones.CLAMT","Hormones.PhyB","Hormones.High_R_FR","Hormones.PIFs","Hormones.HB21_40_53","Hormones.NCED3","Gene.name","Gene.kind","Gene.SL_n","Gene.BRC1_2_n","Gene.CK_n","Gene.Aux_n","Gene.ABA_n","Gene.PIN_1_3_4_7_n","Gene.Aux_Bud_n","Gene.SUC_n","Gene.GA_n","Gene.Decap_signal_n","Gene.CXE_n","Gene.SMXL6_7_8_n","Gene.FHY3_FAR1_n","Gene.SPL9_15_n","Gene.MAX2_n","Gene.D14_n","Gene.D27_n","Gene.MAX3_n","Gene.MAX4_n","Gene.MAX1_n","Gene.LBO_n","Gene.CLAMT_n","Gene.PhyB_n","Gene.PIFs_n","Gene.HB21_40_53_n","Gene.NCED3_n","Gene.Perception_SL","Gene.SUC_band"
1,2.14285714285714,0.1,1,1,0.0777777777777778,0.7,1,0.1,0.098989898989899,1,1,1,1,1,2,1,1,1.29032258064516,1,1,1,1,1,1,1,1,1,1,1,1,1,"overexpression_SPL9_15_n","single_overexpression",1,1,1,1,1,1,1,0.1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,"very low"
5.33333333333333,1.30769275602208,0.133333333333333,1,1,0.108333322058375,0.711111111111111,1,0.1,0.1400673599809,1,1,1,1.73205128205128,1,0.845299376862639,0.732050680431722,1,0,1,0,1,2,2.66666666666667,5.33333333333333,5.33333333333333,5.33333333333333,1,1,1,1,1,"mutant_MAX2_n","single_mutant",1,1,1,1,1,1,1,0.1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,"very low"
1,1.42857142857143,0.1,1,1,0.0903225806451613,0.7,1,0.1,0.114956011730205,1,1,1,1,1,1,1,1,2.58064516129032,1,1,1,1,1,1,1,1,1,1,1,1,1,"overexpression_MAX2_n","single_overexpression",1,1,1,1,1,1,1,0.1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,"very low"
5.33333333333333,1.30769275602208,0.133333333333333,1,1,0.108333322058375,0.711111111111111,1,0.1,0.1400673599809,1,1,1,1.73205128205128,1,0.845299376862639,0.732050680431722,1,1.29032258064516,0,0,1,2,2.66666666666667,5.33333333333333,5.33333333333333,5.33333333333333,1,1,1,1,1,"mutant_D14_n","single_mutant",1,1,1,1,1,1,1,0.1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,"very low"
1,1.42857142857143,0.1,1,1,0.0903225806451613,0.7,1,0.1,0.114956011730205,1,1,1,1,1,1,1,1,1.29032258064516,2,1,1,1,1,1,1,1,1,1,1,1,1,"overexpression_D14_n","single_overexpression",1,1,1,1,1,1,1,0.1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,"very low"
0,1.30769275602208,0.133333333333333,1,1,0.108333322058375,0.711111111111111,1,0.1,0.1400673599809,1,1,1,1.73205128205128,1,0.845299376862639,0.732050680431722,1,1.29032258064516,1,0,0,0,0,0,0,0,1,1,1,1,1,"mutant_D27_n","single_mutant",1,1,1,1,1,1,1,0.1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,"very low"
2,1.42857142857143,0.1,1,1,0.0903225806451613,0.7,1,0.1,0.114956011730205,1,1,1,1,1,1,1,1,1.29032258064516,1,1,2,2,2,2,2,2,1,1,1,1,1,"overexpression_D27_n","single_overexpression",1,1,1,1,1,1,1,0.1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,"very low"
0,1.30769275602208,0.133333333333333,1,1,0.108333322058375,0.711111111111111,1,0.1,0.1400673599809,1,1,1,1.73205128205128,1,0.845299376862639,0.732050680431722,1,1.29032258064516,1,0,1,0,0,0,0,0,1,1,1,1,1,"mutant_MAX3_n","single_mutant",1,1,1,1,1,1,1,0.1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,"very low"
2,1.42857142857143,0.1,1,1,0.0903225806451613,0.7,1,0.1,0.114956011730205,1,1,1,1,1,1,1,1,1.29032258064516,1,1,1,2,2,2,2,2,1,1,1,1,1,"overexpression_MAX3_n","single_overexpression",1,1,1,1,1,1,1,0.1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,"very low"
0,1.30769275602208,0.133333333333333,1,1,0.108333322058375,0.711111111111111,1,0.1,0.1400673599809,1,1,1,1.73205128205128,1,0.845299376862639,0.732050680431722,1,1.29032258064516,1,0,1,2,0,0,0,0,1,1,1,1,1,"mutant_MAX4_n","single_mutant",1,1,1,1,1,1,1,0.1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,"very low"
